,MatchNo,date,HomeTeam,HomeRuns,HomeWickets,HomeOvers,AwayTeam,AwayRuns,AwayWickets,AwayOvers,winner,venue_y,city,player_of_match,toss_winner,toss_decision,result,result_margin,eliminator
0,Match 60 ,2018-05-27,Chennai Super Kings,181,2,18.3,Sunrisers Hyderabad,178,6,20.0,Chennai Super Kings,Wankhede Stadium,Mumbai,SR Watson,Chennai Super Kings,field,wickets,8.0,N
1,Match 59 ,2018-05-25,Sunrisers Hyderabad,174,7,20.0,Kolkata Knight Riders,160,9,20.0,Sunrisers Hyderabad,Eden Gardens,Kolkata,Rashid Khan,Kolkata Knight Riders,field,runs,14.0,N
2,Match 58 ,2018-05-23,Kolkata Knight Riders,169,7,20.0,Rajasthan Royals,144,4,20.0,Kolkata Knight Riders,Eden Gardens,Kolkata,AD Russell,Rajasthan Royals,field,runs,25.0,N
3,Match 57 ,2018-05-22,Sunrisers Hyderabad,139,7,20.0,Chennai Super Kings,140,8,19.1,Chennai Super Kings,Wankhede Stadium,Mumbai,F du Plessis,Chennai Super Kings,field,wickets,2.0,N
4,Match 56 ,2018-05-20,Chennai Super Kings,159,5,19.1,Punjab Kings,153,0,19.4,Chennai Super Kings,Maharashtra Cricket Association Stadium,Pune,L Ngidi,Chennai Super Kings,field,wickets,5.0,N
5,Match 55 ,2018-05-20,Delhi Capitals,174,4,20.0,Mumbai Indians,163,0,19.3,Delhi Capitals,Feroz Shah Kotla,Delhi,A Mishra,Delhi Daredevils,bat,runs,11.0,N
6,Match 54 ,2018-05-19,Sunrisers Hyderabad,172,9,20.0,Kolkata Knight Riders,173,5,19.4,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,CA Lynn,Sunrisers Hyderabad,bat,wickets,5.0,N
7,Match 53 ,2018-05-19,Rajasthan Royals,164,5,20.0,Royal Challengers Bangalore,134,0,19.2,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,S Gopal,Rajasthan Royals,bat,runs,30.0,N
8,Match 52 ,2018-05-18,Delhi Capitals,162,5,20.0,Chennai Super Kings,128,6,20.0,Delhi Capitals,Feroz Shah Kotla,Delhi,HV Patel,Chennai Super Kings,field,runs,34.0,N
9,Match 51 ,2018-05-17,Royal Challengers Bangalore,218,6,20.0,Sunrisers Hyderabad,204,3,20.0,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Bengaluru,AB de Villiers,Sunrisers Hyderabad,field,runs,14.0,N
10,Match 50 ,2018-05-16,Mumbai Indians,186,8,20.0,Punjab Kings,183,5,20.0,Mumbai Indians,Wankhede Stadium,Mumbai,JJ Bumrah,Kings XI Punjab,field,runs,3.0,N
11,Match 49 ,2018-05-15,Kolkata Knight Riders,145,4,18.0,Rajasthan Royals,142,0,19.0,Kolkata Knight Riders,Eden Gardens,Kolkata,Kuldeep Yadav,Kolkata Knight Riders,field,wickets,6.0,N
12,Final ,2018-05-14,Punjab Kings,88,0,15.1,Royal Challengers Bangalore,92,0,8.1,Royal Challengers Bangalore,Holkar Cricket Stadium,Indore,UT Yadav,Royal Challengers Bangalore,field,wickets,10.0,N
13,Match 47 ,2018-05-13,Mumbai Indians,168,6,20.0,Rajasthan Royals,171,3,18.0,Rajasthan Royals,Wankhede Stadium,Mumbai,JC Buttler,Rajasthan Royals,field,wickets,7.0,N
14,Match 46 ,2018-05-13,Chennai Super Kings,180,2,19.0,Sunrisers Hyderabad,179,4,20.0,Chennai Super Kings,Maharashtra Cricket Association Stadium,Pune,AT Rayudu,Chennai Super Kings,field,wickets,8.0,N
15,Match 45 ,2018-05-12,Delhi Capitals,181,4,20.0,Royal Challengers Bangalore,187,5,19.0,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi,AB de Villiers,Royal Challengers Bangalore,field,wickets,5.0,N
16,Match 44 ,2018-05-12,Punjab Kings,214,8,20.0,Kolkata Knight Riders,245,6,20.0,Kolkata Knight Riders,Holkar Cricket Stadium,Indore,SP Narine,Kings XI Punjab,field,runs,31.0,N
