,HomeTeam,HomeRuns,HomeWickets,HomeOvers,AwayTeam,AwayRuns,AwayWickets,AwayOvers,Winner
0,Gujarat Titans,133,9,18.1,Rajasthan Royals,130,9,20.0,Gujarat Titans
1,Rajasthan Royals,161,8,18.1,Royal Challengers Bangalore,157,8,20.0,Rajasthan Royals
2,Lucknow Super Giants,193,4,20.0,Royal Challengers Bangalore,207,4,20.0,Royal Challengers Bangalore
3,Gujarat Titans,191,6,19.3,Rajasthan Royals,188,6,20.0,Gujarat Titans
4,Sunrisers Hyderabad,157,5,20.0,Punjab Kings,160,5,15.1,Punjab Kings
5,Mumbai Indians,160,7,19.1,Delhi Capitals,159,7,20.0,Mumbai Indians
6,Rajasthan Royals,151,6,19.4,Chennai Super Kings,150,6,20.0,Rajasthan Royals
7,Royal Challengers Bangalore,170,5,18.4,Gujarat Titans,168,5,20.0,Royal Challengers Bangalore
8,Kolkata Knight Riders,208,0,20.0,Lucknow Super Giants,210,0,20.0,Lucknow Super Giants
9,Mumbai Indians,190,6,20.0,Sunrisers Hyderabad,193,6,20.0,Sunrisers Hyderabad
10,Punjab Kings,142,7,20.0,Delhi Capitals,159,7,20.0,Delhi Capitals
11,Lucknow Super Giants,154,6,20.0,Rajasthan Royals,178,6,20.0,Rajasthan Royals
12,Chennai Super Kings,133,3,20.0,Gujarat Titans,137,3,19.1,Gujarat Titans
13,Kolkata Knight Riders,177,8,20.0,Sunrisers Hyderabad,123,8,20.0,Kolkata Knight Riders
14,Royal Challengers Bangalore,155,9,20.0,Punjab Kings,209,9,20.0,Punjab Kings
15,Chennai Super Kings,97,5,16.0,Mumbai Indians,103,5,14.5,Mumbai Indians
16,Rajasthan Royals,160,2,20.0,Delhi Capitals,161,2,18.1,Delhi Capitals
17,Lucknow Super Giants,82,4,13.5,Gujarat Titans,144,4,20.0,Gujarat Titans
18,Mumbai Indians,113,9,17.3,Kolkata Knight Riders,165,9,20.0,Kolkata Knight Riders
19,Chennai Super Kings,208,0,20.0,Delhi Capitals,117,0,17.4,Chennai Super Kings
