HomeTeam,HomeScore,HomeOvers,AwayTeam,AwayScore,AwayOvers
Gujarat Titans,133/3,18.1,Rajasthan Royals,130/9,20.0 
Rajasthan Royals,161/3,18.1,Royal Challengers Bangalore,157/8,20.0 
Lucknow Super Giants,193/6,20.0,Royal Challengers Bangalore,207/4,20.0 
Gujarat Titans,191/3,19.3,Rajasthan Royals,188/6,20.0 
Sunrisers Hyderabad,157/8,20.0,Punjab Kings,160/5,15.1 
Mumbai Indians,160/5,19.1,Delhi Capitals,159/7,20.0 
Rajasthan Royals,151/5,19.4,Chennai Super Kings,150/6,20.0 
Royal Challengers Bangalore,170/2,18.4,Gujarat Titans,168/5,20.0 
Kolkata Knight Riders,208/8,20.0,Lucknow Super Giants,210/0,20.0 
Mumbai Indians,190/7,20.0,Sunrisers Hyderabad,193/6,20.0 
Punjab Kings,142/9,20.0,Delhi Capitals,159/7,20.0 
Lucknow Super Giants,154/8,20.0,Rajasthan Royals,178/6,20.0 
Chennai Super Kings,133/5,20.0,Gujarat Titans,137/3,19.1 
Kolkata Knight Riders,177/6,20.0,Sunrisers Hyderabad,123/8,20.0 
Royal Challengers Bangalore,155/9,20.0,Punjab Kings,209/9,20.0 
Chennai Super Kings,97,16.0,Mumbai Indians,103/5,14.5 
Rajasthan Royals,160/6,20.0,Delhi Capitals,161/2,18.1 
Lucknow Super Giants,82,13.5,Gujarat Titans,144/4,20.0 
Mumbai Indians,113,17.3,Kolkata Knight Riders,165/9,20.0 
Chennai Super Kings,208/6,20.0,Delhi Capitals,117,17.4 
Sunrisers Hyderabad,125,19.2,Royal Challengers Bangalore,192/3,20.0 
Lucknow Super Giants,176/7,20.0,Kolkata Knight Riders,101,14.3 
Punjab Kings,189/5,20.0,Rajasthan Royals,190/4,19.4 
Gujarat Titans,172/5,20.0,Mumbai Indians,177/6,20.0 
Delhi Capitals,207/3,20.0,Sunrisers Hyderabad,186/8,20.0 
Royal Challengers Bangalore,173/8,20.0,Chennai Super Kings,160/8,20.0 
Gujarat Titans,143/8,20.0,Punjab Kings,145/2,16.0 
Kolkata Knight Riders,158/3,19.1,Rajasthan Royals,152/5,20.0 
Sunrisers Hyderabad,189/6,20.0,Chennai Super Kings,202/2,20.0 
Delhi Capitals,189/7,20.0,Lucknow Super Giants,195/3,20.0 
Rajasthan Royals,158/6,20.0,Mumbai Indians,161/5,19.2 
Gujarat Titans,174/4,19.3,Royal Challengers Bangalore,170/6,20.0 
Punjab Kings,133/8,20.0,Lucknow Super Giants,153/8,20.0 
Delhi Capitals,150/6,19.0,Kolkata Knight Riders,146/9,20.0 
Gujarat Titans,199/5,20.0,Sunrisers Hyderabad,195/6,20.0 
Royal Challengers Bangalore,115,19.3,Rajasthan Royals,144/8,20.0 
Punjab Kings,187/4,20.0,Chennai Super Kings,176/6,20.0 
Lucknow Super Giants,168/6,20.0,Mumbai Indians,132/8,20.0 
Royal Challengers Bangalore,68,16.1,Sunrisers Hyderabad,72/1,8.0 
Kolkata Knight Riders,148/8,20.0,Gujarat Titans,156/9,20.0 
Delhi Capitals,207/8,20.0,Rajasthan Royals,222/2,20.0 
Mumbai Indians,155/7,20.0,Chennai Super Kings,156/7,20.0 
Delhi Capitals,119/1,10.3,Punjab Kings,115,20.0 
Lucknow Super Giants,163/8,20.0,Royal Challengers Bangalore,181/6,20.0 
Rajasthan Royals,217/5,20.0,Kolkata Knight Riders,210,19.4 
Gujarat Titans,170/7,19.5,Chennai Super Kings,169/5,20.0 
Punjab Kings,151,20.0,Sunrisers Hyderabad,152/3,18.5 
Delhi Capitals,173/7,20.0,Royal Challengers Bangalore,189/5,20.0 
Mumbai Indians,181/9,20.0,Lucknow Super Giants,199/4,20.0 
Sunrisers Hyderabad,176/3,17.5,Kolkata Knight Riders,175/8,20.0 
Rajasthan Royals,155/9,20.0,Gujarat Titans,192/4,20.0 
Mumbai Indians,186/9,20.0,Punjab Kings,198/5,20.0 
Chennai Super Kings,216/4,20.0,Royal Challengers Bangalore,193/9,20.0 
Sunrisers Hyderabad,168/2,19.1,Gujarat Titans,162/7,20.0 
Rajasthan Royals,165/6,20.0,Lucknow Super Giants,162/8,20.0 
Kolkata Knight Riders,171,19.4,Delhi Capitals,215/5,20.0 
Royal Challengers Bangalore,152/3,18.3,Mumbai Indians,151/6,20.0 
Chennai Super Kings,154/7,20.0,Sunrisers Hyderabad,155/2,17.4 
Punjab Kings,189/9,20.0,Gujarat Titans,190/4,20.0 
Lucknow Super Giants,155/4,19.4,Delhi Capitals,149/3,20.0 
Kolkata Knight Riders,162/5,16.0,Mumbai Indians,161/4,20.0 
Rajasthan Royals,169/3,20.0,Royal Challengers Bangalore,173/6,19.1 
Sunrisers Hyderabad,157/9,20.0,Lucknow Super Giants,169/7,20.0 
Chennai Super Kings,126,18.0,Punjab Kings,180/8,20.0 
Gujarat Titans,171/6,20.0,Delhi Capitals,157/9,20.0 
Mumbai Indians,170/8,20.0,Rajasthan Royals,193/8,20.0 
Kolkata Knight Riders,141/4,14.3,Punjab Kings,137,18.2 
Lucknow Super Giants,211/4,19.3,Chennai Super Kings,210/7,20.0 
Royal Challengers Bangalore,132/7,19.2,Kolkata Knight Riders,128,18.5 
Sunrisers Hyderabad,149/7,20.0,Rajasthan Royals,210/6,20.0 
Gujarat Titans,161/5,19.4,Lucknow Super Giants,158/6,20.0 
Royal Challengers Bangalore,205/2,20.0,Punjab Kings,208/5,19.0 
Delhi Capitals,179/6,18.2,Mumbai Indians,177/5,20.0 
Chennai Super Kings,131/5,20.0,Kolkata Knight Riders,133/4,18.3 
