,Season,MatchNo,Date,HomeTeam,HomeRuns,HomeWickets,HomeOvers,AwayTeam,AwayRuns,AwayWickets,AwayOvers,Winner,Venue,City,PlayerOfMatch,TossWinner,TossDecision,Result,ResultMargin,Eliminator
0,2008,Match 59 ,2008-06-01,Chennai Super Kings,163,5,20.0,Rajasthan Royals,164,7,20.0,Rajasthan Royals,Dr DY Patil Sports Academy,Mumbai,YK Pathan,Rajasthan Royals,field,wickets,3.0,N
1,2008,Match 58 ,2008-05-31,Chennai Super Kings,116,1,14.5,Punjab Kings,112,8,20.0,Chennai Super Kings,Wankhede Stadium,Mumbai,M Ntini,Punjab Kings,bat,wickets,9.0,N
2,2008,Match 57 ,2008-05-30,Delhi Capitals,87,0,16.1,Rajasthan Royals,192,9,20.0,Rajasthan Royals,Wankhede Stadium,Mumbai,SR Watson,Delhi Daredevils,field,runs,105.0,N
3,2008,Match 56 ,2008-05-28,Punjab Kings,221,3,20.0,Rajasthan Royals,180,7,20.0,Punjab Kings,Punjab Cricket Association Stadium,Chandigarh,SE Marsh,Rajasthan Royals,field,runs,41.0,N
4,2008,Match 55 ,2008-05-28,Royal Challengers Bangalore,122,9,18.0,Mumbai Indians,126,1,16.0,Mumbai Indians,M Chinnaswamy Stadium,Bangalore,CRD Fernando,Mumbai Indians,field,wickets,9.0,N
5,2008,Match 54 ,2008-05-27,Sunrisers Hyderabad,147,8,20.0,Chennai Super Kings,148,3,19.2,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SK Raina,Sunrisers Hyderabad,bat,wickets,7.0,N
6,2008,Match 53 ,2008-05-26,Rajasthan Royals,146,5,20.0,Mumbai Indians,145,7,20.0,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Sohail Tanvir,Rajasthan Royals,field,wickets,5.0,N
7,2008,Match 52 ,2008-05-25,Kolkata Knight Riders,175,7,19.4,Punjab Kings,174,6,20.0,Kolkata Knight Riders,Eden Gardens,Kolkata,Umar Gul,Punjab Kings,bat,wickets,3.0,N
8,2008,Match 51 ,2008-05-25,Sunrisers Hyderabad,165,0,20.0,Royal Challengers Bangalore,171,5,19.0,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,R Vinay Kumar,Sunrisers Hyderabad,bat,wickets,5.0,N
9,2008,Match 50 ,2008-05-24,Delhi Capitals,179,5,19.5,Mumbai Indians,180,8,20.0,Delhi Capitals,Feroz Shah Kotla,Delhi,KD Karthik,Delhi Daredevils,field,wickets,5.0,N
10,2008,Match 49 ,2008-05-24,Chennai Super Kings,201,7,20.0,Rajasthan Royals,211,5,20.0,Rajasthan Royals,MA Chidambaram Stadium,Chennai,JA Morkel,Rajasthan Royals,bat,runs,10.0,N
11,2008,Final ,2008-05-23,Punjab Kings,178,4,19.3,Sunrisers Hyderabad,175,4,20.0,Punjab Kings,Punjab Cricket Association Stadium,Chandigarh,SE Marsh,Punjab Kings,field,wickets,6.0,N
12,2008,Match 46 ,2008-05-21,Chennai Super Kings,112,8,20.0,Royal Challengers Bangalore,126,8,20.0,Royal Challengers Bangalore,MA Chidambaram Stadium,Chennai,A Kumble,Royal Challengers Bangalore,bat,runs,14.0,N
13,2008,Match 45 ,2008-05-21,Mumbai Indians,188,0,20.0,Punjab Kings,189,4,20.0,Punjab Kings,Wankhede Stadium,Mumbai,SE Marsh,Mumbai Indians,field,runs,1.0,N
14,2008,Match 44 ,2008-05-20,Kolkata Knight Riders,147,8,20.0,Rajasthan Royals,150,4,16.3,Rajasthan Royals,Eden Gardens,Kolkata,YK Pathan,Rajasthan Royals,field,wickets,6.0,N
15,2008,Match 43 ,2008-05-19,Royal Challengers Bangalore,154,7,20.0,Delhi Capitals,158,5,18.2,Delhi Capitals,M Chinnaswamy Stadium,Bangalore,SP Goswami,Delhi Daredevils,field,wickets,5.0,N
16,2008,Match 42 ,2008-05-18,Sunrisers Hyderabad,153,7,20.0,Mumbai Indians,178,7,20.0,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,DJ Bravo,Sunrisers Hyderabad,field,runs,25.0,N
17,2008,Match 41 ,2008-05-18,Kolkata Knight Riders,149,5,20.0,Chennai Super Kings,55,0,8.0,Chennai Super Kings,Eden Gardens,Kolkata,M Ntini,Kolkata Knight Riders,bat,runs,3.0,N
