['Team A', 'dot', 0, 0]
['Team A', 'one', 1, 0]
['Team A', 'extra run', 2, 0]
['Team A', 'four', 6, 0]
['Team A', 'one', 7, 0]
['Team A', 'extra run', 8, 0]
['Team A', 'one', 9, 0]
['Team A', 'dot', 9, 0]
['Team A', 'four', 13, 0]
['Team A', 'two', 15, 0]
['Team A', 'one', 16, 0]
['Team A', 'one', 17, 0]
['Team A', 'dot', 17, 0]
['Team A', 'dot', 17, 0]
['Team A', 'one', 18, 0]
['Team A', 'wicket', 19, 1]
['Team A', 'four', 23, 1]
['Team A', 'dot', 23, 1]
['Team A', 'one', 24, 1]
['Team A', 'two', 26, 1]
['Team A', 'dot', 26, 1]
['Team A', 'one', 27, 1]
['Team A', 'one', 28, 1]
['Team A', 'four', 32, 1]
['Team A', 'extra run', 33, 1]
['Team A', 'dot', 33, 1]
['Team A', 'dot', 33, 1]
['Team A', 'extra run', 34, 1]
['Team A', 'four', 38, 1]
['Team A', 'dot', 38, 1]
['Team A', 'two', 40, 1]
['Team A', 'dot', 40, 1]
['Team A', 'four', 44, 1]
['Team A', 'one', 45, 1]
['Team A', 'dot', 45, 1]
['Team A', 'extra run', 46, 1]
['Team A', 'two', 48, 1]
['Team A', 'one', 49, 1]
['Team A', 'one', 50, 1]
['Team A', 'dot', 50, 1]
['Team A', 'one', 51, 1]
['Team A', 'one', 52, 1]
['Team A', 'one', 53, 1]
['Team A', 'four', 57, 1]
['Team A', 'dot', 57, 1]
['Team A', 'one', 58, 1]
['Team A', 'one', 59, 1]
['Team A', 'dot', 59, 1]
['Team A', 'dot', 59, 1]
['Team A', 'one', 60, 1]
['Team A', 'dot', 60, 1]
['Team A', 'one', 61, 1]
['Team A', 'two', 63, 1]
['Team A', 'dot', 63, 1]
['Team A', 'extra run', 64, 1]
['Team A', 'one', 65, 1]
['Team A', 'one', 66, 1]
['Team A', 'four', 70, 1]
['Team A', 'two', 72, 1]
['Team A', 'one', 73, 1]
['Team B', 'one', 1, 0]
['Team B', 'six', 7, 0]
['Team B', 'six', 13, 0]
['Team B', 'one', 14, 0]
['Team B', 'dot', 14, 0]
['Team B', 'one', 15, 0]
['Team B', 'dot', 15, 0]
['Team B', 'one', 16, 0]
['Team B', 'wicket', 17, 1]
['Team B', 'one', 18, 1]
['Team B', 'one', 19, 1]
['Team B', 'one', 20, 1]
['Team B', 'four', 24, 1]
['Team B', 'one', 25, 1]
['Team B', 'four', 29, 1]
['Team B', 'four', 33, 1]
['Team B', 'one', 34, 1]
['Team B', 'one', 35, 1]
['Team B', 'dot', 35, 1]
['Team B', 'dot', 35, 1]
['Team B', 'one', 36, 1]
['Team B', 'dot', 36, 1]
['Team B', 'dot', 36, 1]
['Team B', 'four', 40, 1]
['Team B', 'one', 41, 1]
['Team B', 'one', 42, 1]
['Team B', 'dot', 42, 1]
['Team B', 'dot', 42, 1]
