0,batting_team,runs_scored,wickets_lost,
1,Team B,one,1,0.0
2,Team B,wicket,1,1.0
3,Team B,one,2,1.0
4,Team B,dot,2,1.0
5,Team B,extra run,3,1.0
6,Team B,four,7,1.0
7,Team B,one,8,1.0
8,Team B,wicket,9,2.0
9,Team B,one,10,2.0
10,Team B,dot,10,2.0
11,Team B,two,12,2.0
12,Team B,one,13,2.0
13,Team B,extra run,14,2.0
14,Team B,dot,14,2.0
15,Team B,dot,14,2.0
16,Team B,dot,14,2.0
17,Team B,wicket,15,3.0
18,Team B,dot,15,3.0
19,Team B,four,19,3.0
20,Team B,dot,19,3.0
21,Team B,one,20,3.0
22,Team B,one,21,3.0
23,Team B,one,22,3.0
24,Team B,one,23,3.0
25,Team B,one,24,3.0
26,Team B,dot,24,3.0
27,Team B,wicket,25,4.0
28,Team B,two,27,4.0
29,Team B,one,28,4.0
30,Team B,dot,28,4.0
31,Team B,six,34,4.0
32,Team B,one,35,4.0
33,Team B,extra run,37,4.0
34,Team B,one,38,4.0
35,Team B,one,39,4.0
36,Team B,one,40,4.0
37,Team B,dot,40,4.0
38,Team B,extra run,41,4.0
39,Team B,one,42,4.0
40,Team B,extra run,46,4.0
41,Team B,two,48,4.0
42,Team B,six,54,4.0
43,Team B,one,55,4.0
44,Team B,dot,55,4.0
45,Team B,four,59,4.0
46,Team B,dot,59,4.0
47,Team B,dot,59,4.0
48,Team B,dot,59,4.0
49,Team B,one,60,4.0
50,Team B,four,64,4.0
51,Team B,four,68,4.0
52,Team B,four,72,4.0
53,Team B,one,73,4.0
54,Team B,dot,73,4.0
55,Team B,dot,73,4.0
56,Team B,one,74,4.0
57,Team B,dot,74,4.0
58,Team B,one,75,4.0
59,Team B,dot,75,4.0
60,Team B,one,76,4.0
61,Team A,dot,0,0.0
62,Team A,dot,0,0.0
63,Team A,one,1,0.0
64,Team A,one,2,0.0
65,Team A,dot,2,0.0
66,Team A,one,3,0.0
67,Team A,one,4,0.0
68,Team A,four,8,0.0
69,Team A,one,9,0.0
70,Team A,one,10,0.0
71,Team A,four,14,0.0
72,Team A,one,15,0.0
73,Team A,one,16,0.0
74,Team A,dot,16,0.0
75,Team A,dot,16,0.0
76,Team A,extra run,17,0.0
77,Team A,extra run,18,0.0
78,Team A,two,20,0.0
79,Team A,one,21,0.0
80,Team A,one,22,0.0
81,Team A,dot,22,0.0
82,Team A,extra run,25,0.0
83,Team A,one,26,0.0
84,Team A,dot,26,0.0
85,Team A,one,27,0.0
86,Team A,wicket,28,1.0
87,Team A,four,32,1.0
88,Team A,dot,32,1.0
89,Team A,four,36,1.0
90,Team A,one,37,1.0
91,Team A,one,38,1.0
92,Team A,one,39,1.0
93,Team A,one,40,1.0
94,Team A,four,44,1.0
95,Team A,wicket,45,2.0
96,Team A,dot,45,2.0
97,Team A,one,46,2.0
98,Team A,four,50,2.0
99,Team A,dot,50,2.0
100,Team A,dot,50,2.0
101,Team A,dot,50,2.0
102,Team A,four,54,2.0
103,Team A,dot,54,2.0
104,Team A,four,58,2.0
105,Team A,one,59,2.0
106,Team A,one,60,2.0
107,Team A,one,61,2.0
108,Team A,one,62,2.0
109,Team A,wicket,63,3.0
110,Team A,dot,63,3.0
111,Team A,dot,63,3.0
112,Team A,extra run,64,3.0
113,Team A,one,65,3.0
114,Team A,wicket,66,4.0
115,Team A,one,67,4.0
116,Team A,one,68,4.0
117,Team A,dot,68,4.0
118,Team A,dot,68,4.0
119,Team A,four,72,4.0
120,Team A,dot,72,4.0
121,Team B,four,4,0.0
122,Team B,one,5,0.0
123,Team B,four,9,0.0
124,Team B,one,10,0.0
125,Team B,one,11,0.0
126,Team B,one,12,0.0
127,Team B,dot,12,0.0
128,Team B,dot,12,0.0
129,Team B,one,13,0.0
130,Team B,dot,13,0.0
131,Team B,one,14,0.0
132,Team B,extra run,15,0.0
133,Team B,six,21,0.0
134,Team B,dot,21,0.0
135,Team B,dot,21,0.0
136,Team B,four,25,0.0
137,Team B,dot,25,0.0
138,Team B,dot,25,0.0
139,Team B,dot,25,0.0
140,Team B,one,26,0.0
141,Team B,two,28,0.0
142,Team B,dot,28,0.0
143,Team B,one,29,0.0
144,Team B,wicket,30,1.0
145,Team B,one,31,1.0
146,Team B,one,32,1.0
147,Team B,two,34,1.0
148,Team B,four,38,1.0
149,Team B,four,42,1.0
150,Team B,six,48,1.0
151,Team B,one,49,1.0
152,Team B,dot,49,1.0
153,Team B,wicket,50,2.0
154,Team B,one,51,2.0
155,Team B,dot,51,2.0
156,Team B,two,53,2.0
157,Team B,dot,53,2.0
158,Team B,dot,53,2.0
159,Team B,six,59,2.0
160,Team B,one,60,2.0
161,Team B,dot,60,2.0
162,Team B,dot,60,2.0
163,Team B,one,61,2.0
164,Team B,wicket,62,3.0
165,Team B,two,64,3.0
166,Team B,one,65,3.0
167,Team B,four,69,3.0
168,Team B,wicket,70,4.0
169,Team B,two,72,4.0
170,Team B,extra run,73,4.0
171,Team B,one,74,4.0
172,Team B,dot,74,4.0
173,Team B,one,75,4.0
174,Team B,wicket,76,5.0
175,Team B,one,77,5.0
176,Team B,dot,77,5.0
177,Team B,one,78,5.0
178,Team B,dot,78,5.0
179,Team B,dot,78,5.0
180,Team B,two,80,5.0
181,Team A,six,6,0.0
182,Team A,one,7,0.0
183,Team A,two,9,0.0
184,Team A,wicket,9,1.0
185,Team A,dot,9,1.0
186,Team A,one,10,1.0
187,Team A,one,11,1.0
188,Team A,dot,11,1.0
189,Team A,dot,11,1.0
190,Team A,dot,11,1.0
191,Team A,six,17,1.0
192,Team A,one,18,1.0
193,Team A,one,19,1.0
194,Team A,dot,19,1.0
195,Team A,dot,19,1.0
196,Team A,dot,19,1.0
197,Team A,extra run,20,1.0
198,Team A,dot,20,1.0
199,Team A,dot,20,1.0
200,Team A,one,21,1.0
201,Team A,one,22,1.0
202,Team A,four,26,1.0
203,Team A,one,27,1.0
204,Team A,one,28,1.0
205,Team A,two,30,1.0
206,Team A,one,31,1.0
207,Team A,dot,31,1.0
208,Team A,one,32,1.0
209,Team A,one,33,1.0
210,Team A,dot,33,1.0
211,Team A,extra run,34,1.0
212,Team A,dot,34,1.0
213,Team A,dot,34,1.0
214,Team A,six,40,1.0
215,Team A,dot,40,1.0
216,Team A,extra run,44,1.0
217,Team A,two,46,1.0
218,Team A,dot,46,1.0
219,Team A,six,52,1.0
220,Team A,wicket,53,2.0
221,Team A,one,54,2.0
222,Team A,dot,54,2.0
223,Team A,one,55,2.0
224,Team A,one,56,2.0
225,Team A,one,57,2.0
226,Team A,one,58,2.0
227,Team A,one,59,2.0
228,Team A,one,60,2.0
229,Team A,extra run,62,2.0
230,Team A,dot,62,2.0
231,Team A,four,66,2.0
232,Team A,dot,66,2.0
233,Team A,one,67,2.0
234,Team A,dot,67,2.0
235,Team A,one,68,2.0
236,Team A,one,69,2.0
237,Team A,two,71,2.0
238,Team A,one,72,2.0
239,Team A,one,73,2.0
240,Team A,one,74,2.0
