['Team A', 'extra run', 1, 0]
['Team A', 'four', 5, 0]
['Team A', 'four', 9, 0]
['Team A', 'dot', 9, 0]
['Team A', 'one', 10, 0]
['Team A', 'four', 14, 0]
['Team A', 'dot', 14, 0]
['Team A', 'dot', 14, 0]
['Team A', 'dot', 14, 0]
['Team A', 'two', 16, 0]
['Team A', 'one', 17, 0]
['Team A', 'two', 19, 0]
['Team A', 'one', 20, 0]
['Team A', 'one', 21, 0]
['Team A', 'one', 22, 0]
['Team A', 'one', 23, 0]
['Team A', 'six', 29, 0]
['Team A', 'dot', 29, 0]
['Team A', 'one', 30, 0]
['Team A', 'one', 31, 0]
['Team A', 'one', 32, 0]
['Team A', 'four', 36, 0]
['Team A', 'dot', 36, 0]
['Team A', 'dot', 36, 0]
['Team A', 'one', 37, 0]
['Team A', 'one', 38, 0]
['Team A', 'two', 40, 0]
['Team A', 'one', 41, 0]
['Team A', 'dot', 41, 0]
['Team A', 'two', 43, 0]
['Team A', 'four', 47, 0]
['Team A', 'one', 48, 0]
['Team A', 'one', 49, 0]
['Team A', 'extra run', 50, 0]
['Team A', 'dot', 50, 0]
['Team A', 'wicket', 51, 1]
['Team A', 'extra run', 52, 1]
['Team A', 'one', 53, 1]
['Team A', 'dot', 53, 1]
['Team A', 'six', 59, 1]
['Team A', 'extra run', 60, 1]
['Team A', 'extra run', 61, 1]
['Team A', 'one', 62, 1]
['Team A', 'one', 63, 1]
['Team A', 'four', 67, 1]
['Team A', 'wicket', 67, 2]
['Team A', 'four', 71, 2]
['Team A', 'six', 77, 2]
['Team A', 'extra run', 78, 2]
['Team A', 'one', 79, 2]
['Team A', 'one', 80, 2]
['Team A', 'dot', 80, 2]
['Team A', 'wicket', 81, 3]
['Team A', 'dot', 81, 3]
['Team A', 'one', 82, 3]
['Team A', 'one', 83, 3]
['Team A', 'one', 84, 3]
['Team A', 'one', 85, 3]
['Team A', 'dot', 85, 3]
['Team A', 'dot', 85, 3]
['Team B', 'two', 2, 0]
['Team B', 'wicket', 2, 1]
['Team B', 'dot', 2, 1]
['Team B', 'one', 3, 1]
['Team B', 'dot', 3, 1]
['Team B', 'dot', 3, 1]
['Team B', 'dot', 3, 1]
['Team B', 'dot', 3, 1]
['Team B', 'dot', 3, 1]
['Team B', 'one', 4, 1]
['Team B', 'four', 8, 1]
['Team B', 'six', 14, 1]
['Team B', 'one', 15, 1]
['Team B', 'four', 19, 1]
['Team B', 'one', 20, 1]
['Team B', 'two', 22, 1]
['Team B', 'dot', 22, 1]
['Team B', 'one', 23, 1]
['Team B', 'six', 29, 1]
['Team B', 'six', 35, 1]
['Team B', 'four', 39, 1]
['Team B', 'dot', 39, 1]
['Team B', 'one', 40, 1]
['Team B', 'four', 44, 1]
['Team B', 'one', 45, 1]
['Team B', 'four', 49, 1]
['Team B', 'four', 53, 1]
['Team B', 'four', 57, 1]
['Team B', 'one', 58, 1]
['Team B', 'one', 59, 1]
['Team B', 'one', 60, 1]
['Team B', 'one', 61, 1]
['Team B', 'one', 62, 1]
['Team B', 'dot', 62, 1]
['Team B', 'dot', 62, 1]
['Team B', 'one', 63, 1]
['Team B', 'one', 64, 1]
['Team B', 'dot', 64, 1]
['Team B', 'dot', 64, 1]
['Team B', 'dot', 64, 1]
['Team B', 'extra run', 65, 1]
['Team B', 'four', 69, 1]
['Team B', 'one', 70, 1]
['Team B', 'four', 74, 1]
['Team B', 'one', 75, 1]
['Team B', 'dot', 75, 1]
['Team B', 'extra run', 76, 1]
['Team B', 'four', 80, 1]
['Team B', 'dot', 80, 1]
['Team B', 'extra run', 81, 1]
['Team B', 'dot', 81, 1]
['Team B', 'two', 83, 1]
['Team B', 'one', 84, 1]
['Team B', 'one', 85, 1]
['Team B', 'dot', 85, 1]
['Team B', 'one', 86, 1]
['Team B', 'four', 90, 1]
['Team B', 'one', 91, 1]
['Team B', 'dot', 91, 1]
['Team B', 'dot', 91, 1]
['Team A', 'four', 4, 0]
['Team A', 'dot', 4, 0]
['Team A', 'dot', 4, 0]
['Team A', 'one', 5, 0]
['Team A', 'one', 6, 0]
