['Team B', 'one', 1, 0]
['Team B', 'dot', 1, 0]
['Team B', 'one', 2, 0]
['Team B', 'four', 6, 0]
['Team B', 'four', 10, 0]
['Team B', 'four', 14, 0]
['Team B', 'one', 15, 0]
['Team B', 'dot', 15, 0]
['Team B', 'dot', 15, 0]
['Team B', 'one', 16, 0]
['Team B', 'four', 20, 0]
['Team B', 'six', 26, 0]
['Team B', 'four', 30, 0]
['Team B', 'one', 31, 0]
['Team B', 'one', 32, 0]
['Team B', 'four', 36, 0]
['Team B', 'one', 37, 0]
['Team B', 'dot', 37, 0]
['Team B', 'wicket', 38, 1]
['Team B', 'one', 39, 1]
['Team B', 'two', 41, 1]
['Team B', 'one', 42, 1]
['Team B', 'one', 43, 1]
['Team B', 'extra run', 44, 1]
['Team B', 'one', 45, 1]
['Team B', 'one', 46, 1]
['Team B', 'four', 50, 1]
['Team B', 'one', 51, 1]
['Team B', 'two', 53, 1]
['Team B', 'dot', 53, 1]
['Team B', 'four', 57, 1]
['Team B', 'dot', 57, 1]
['Team B', 'dot', 57, 1]
['Team B', 'dot', 57, 1]
['Team B', 'dot', 57, 1]
['Team B', 'one', 58, 1]
['Team B', 'dot', 58, 1]
['Team B', 'dot', 58, 1]
['Team B', 'dot', 58, 1]
['Team B', 'four', 62, 1]
['Team B', 'wicket', 63, 2]
['Team B', 'dot', 63, 2]
['Team B', 'extra run', 64, 2]
['Team B', 'one', 65, 2]
['Team B', 'extra run', 66, 2]
['Team B', 'one', 67, 2]
['Team B', 'dot', 67, 2]
['Team B', 'one', 68, 2]
['Team B', 'four', 72, 2]
['Team B', 'one', 73, 2]
['Team B', 'one', 74, 2]
['Team B', 'dot', 74, 2]
['Team B', 'extra run', 75, 2]
['Team B', 'one', 76, 2]
['Team B', 'two', 78, 2]
['Team B', 'dot', 78, 2]
['Team B', 'one', 79, 2]
['Team B', 'dot', 79, 2]
['Team B', 'one', 80, 2]
['Team B', 'dot', 80, 2]
['Team A', 'dot', 0, 0]
['Team A', 'one', 1, 0]
['Team A', 'wicket', 2, 1]
['Team A', 'dot', 2, 1]
['Team A', 'one', 3, 1]
['Team A', 'one', 4, 1]
['Team A', 'four', 8, 1]
['Team A', 'one', 9, 1]
['Team A', 'four', 13, 1]
['Team A', 'six', 19, 1]
['Team A', 'extra run', 20, 1]
['Team A', 'four', 24, 1]
['Team A', 'dot', 24, 1]
['Team A', 'dot', 24, 1]
['Team A', 'dot', 24, 1]
['Team A', 'one', 25, 1]
['Team A', 'dot', 25, 1]
['Team A', 'dot', 25, 1]
['Team A', 'dot', 25, 1]
['Team A', 'one', 26, 1]
['Team A', 'one', 27, 1]
['Team A', 'dot', 27, 1]
