['Team A', 'one', 1, 0]
['Team A', 'one', 2, 0]
['Team A', 'one', 3, 0]
['Team A', 'one', 4, 0]
['Team A', 'one', 5, 0]
['Team A', 'one', 6, 0]
['Team A', 'two', 8, 0]
['Team A', 'four', 12, 0]
['Team A', 'two', 14, 0]
['Team A', 'extra run', 15, 0]
['Team A', 'dot', 15, 0]
['Team A', 'one', 16, 0]
['Team A', 'dot', 16, 0]
['Team A', 'one', 17, 0]
['Team A', 'one', 18, 0]
['Team A', 'one', 19, 0]
['Team A', 'extra run', 20, 0]
['Team A', 'four', 24, 0]
['Team A', 'wicket', 25, 1]
['Team A', 'six', 31, 1]
['Team A', 'one', 32, 1]
['Team A', 'dot', 32, 1]
['Team A', 'four', 36, 1]
['Team A', 'dot', 36, 1]
['Team A', 'dot', 36, 1]
['Team A', 'one', 37, 1]
['Team A', 'dot', 37, 1]
['Team A', 'dot', 37, 1]
['Team A', 'dot', 37, 1]
['Team A', 'two', 39, 1]
['Team A', 'dot', 39, 1]
['Team A', 'dot', 39, 1]
['Team A', 'six', 45, 1]
['Team A', 'dot', 45, 1]
['Team A', 'dot', 45, 1]
['Team A', 'dot', 45, 1]
['Team A', 'dot', 45, 1]
['Team A', 'six', 51, 1]
['Team A', 'dot', 51, 1]
['Team A', 'four', 55, 1]
['Team A', 'dot', 55, 1]
['Team A', 'dot', 55, 1]
['Team A', 'two', 57, 1]
['Team A', 'extra run', 58, 1]
['Team A', 'two', 60, 1]
['Team A', 'extra run', 61, 1]
['Team A', 'extra run', 63, 1]
['Team A', 'extra run', 64, 1]
['Team A', 'extra run', 65, 1]
['Team A', 'one', 66, 1]
['Team A', 'one', 67, 1]
['Team A', 'four', 71, 1]
['Team A', 'dot', 71, 1]
['Team A', 'dot', 71, 1]
['Team A', 'four', 75, 1]
['Team A', 'six', 81, 1]
['Team A', 'wicket', 82, 2]
['Team A', 'one', 83, 2]
['Team A', 'one', 84, 2]
['Team A', 'dot', 84, 2]
['Team B', 'one', 1, 0]
['Team B', 'two', 3, 0]
['Team B', 'dot', 3, 0]
['Team B', 'one', 4, 0]
['Team B', 'dot', 4, 0]
['Team B', 'two', 6, 0]
['Team B', 'two', 8, 0]
['Team B', 'one', 9, 0]
['Team B', 'four', 13, 0]
['Team B', 'one', 14, 0]
['Team B', 'six', 20, 0]
['Team B', 'extra run', 21, 0]
['Team B', 'four', 25, 0]
['Team B', 'one', 26, 0]
['Team B', 'dot', 26, 0]
['Team B', 'two', 28, 0]
['Team B', 'extra run', 29, 0]
['Team B', 'four', 33, 0]
['Team B', 'four', 37, 0]
['Team B', 'two', 39, 0]
['Team B', 'dot', 39, 0]
['Team B', 'four', 43, 0]
['Team B', 'dot', 43, 0]
['Team B', 'dot', 43, 0]
['Team B', 'dot', 43, 0]
['Team B', 'dot', 43, 0]
['Team B', 'dot', 43, 0]
['Team B', 'one', 44, 0]
['Team B', 'one', 45, 0]
['Team B', 'one', 46, 0]
['Team B', 'four', 50, 0]
['Team B', 'six', 56, 0]
['Team B', 'one', 57, 0]
['Team B', 'one', 58, 0]
['Team B', 'dot', 58, 0]
['Team B', 'one', 59, 0]
['Team B', 'dot', 59, 0]
['Team B', 'two', 61, 0]
['Team B', 'one', 62, 0]
['Team B', 'dot', 62, 0]
['Team B', 'dot', 62, 0]
['Team B', 'one', 63, 0]
['Team B', 'one', 64, 0]
['Team B', 'dot', 64, 0]
['Team B', 'one', 65, 0]
['Team B', 'four', 69, 0]
