['Team A', 'two', 2, 0]
['Team A', 'one', 3, 0]
['Team A', 'one', 4, 0]
['Team A', 'dot', 4, 0]
['Team A', 'one', 5, 0]
['Team A', 'dot', 5, 0]
['Team A', 'one', 6, 0]
['Team A', 'dot', 6, 0]
['Team A', 'dot', 6, 0]
['Team A', 'wicket', 7, 1]
['Team A', 'six', 13, 1]
['Team A', 'dot', 13, 1]
['Team A', 'two', 15, 1]
['Team A', 'one', 16, 1]
['Team A', 'wicket', 17, 2]
['Team A', 'two', 19, 2]
['Team A', 'one', 20, 2]
['Team A', 'two', 22, 2]
['Team A', 'one', 23, 2]
['Team A', 'dot', 23, 2]
['Team A', 'wicket', 25, 3]
['Team A', 'one', 26, 3]
['Team A', 'one', 27, 3]
['Team A', 'four', 31, 3]
['Team A', 'one', 32, 3]
['Team A', 'dot', 32, 3]
['Team A', 'dot', 32, 3]
['Team A', 'four', 36, 3]
['Team A', 'wicket', 37, 4]
['Team A', 'dot', 37, 4]
['Team A', 'two', 39, 4]
['Team A', 'dot', 39, 4]
['Team A', 'one', 40, 4]
['Team A', 'extra run', 41, 4]
['Team A', 'dot', 41, 4]
['Team A', 'one', 42, 4]
['Team A', 'one', 43, 4]
['Team A', 'one', 44, 4]
['Team A', 'two', 46, 4]
['Team A', 'dot', 46, 4]
['Team A', 'dot', 46, 4]
['Team A', 'dot', 46, 4]
['Team A', 'two', 48, 4]
['Team A', 'two', 50, 4]
['Team A', 'dot', 50, 4]
['Team A', 'extra run', 51, 4]
['Team A', 'extra run', 52, 4]
['Team A', 'six', 58, 4]
['Team A', 'one', 59, 4]
['Team A', 'dot', 59, 4]
['Team A', 'two', 61, 4]
['Team A', 'one', 62, 4]
['Team A', 'dot', 62, 4]
['Team A', 'dot', 62, 4]
['Team A', 'dot', 62, 4]
['Team A', 'one', 63, 4]
['Team A', 'one', 64, 4]
['Team A', 'one', 65, 4]
['Team A', 'one', 66, 4]
['Team A', 'dot', 66, 4]
['Team B', 'dot', 0, 0]
['Team B', 'one', 1, 0]
['Team B', 'one', 2, 0]
['Team B', 'dot', 2, 0]
['Team B', 'one', 3, 0]
['Team B', 'extra run', 8, 0]
['Team B', 'one', 9, 0]
['Team B', 'one', 10, 0]
['Team B', 'one', 11, 0]
['Team B', 'one', 12, 0]
['Team B', 'dot', 12, 0]
['Team B', 'dot', 12, 0]
['Team B', 'one', 13, 0]
['Team B', 'one', 14, 0]
['Team B', 'four', 18, 0]
['Team B', 'dot', 18, 0]
['Team B', 'one', 19, 0]
['Team B', 'four', 23, 0]
['Team B', 'dot', 23, 0]
['Team B', 'four', 27, 0]
['Team B', 'extra run', 28, 0]
['Team B', 'one', 29, 0]
['Team B', 'dot', 29, 0]
['Team B', 'dot', 29, 0]
['Team B', 'dot', 29, 0]
['Team B', 'dot', 29, 0]
['Team B', 'dot', 29, 0]
['Team B', 'one', 30, 0]
['Team B', 'one', 31, 0]
['Team B', 'four', 35, 0]
['Team B', 'six', 41, 0]
['Team B', 'dot', 41, 0]
['Team B', 'extra run', 42, 0]
['Team B', 'three', 45, 0]
['Team B', 'one', 46, 0]
['Team B', 'dot', 46, 0]
['Team B', 'dot', 46, 0]
['Team B', 'extra run', 47, 0]
['Team B', 'dot', 47, 0]
['Team B', 'six', 53, 0]
['Team B', 'dot', 53, 0]
['Team B', 'extra run', 54, 0]
['Team B', 'one', 55, 0]
['Team B', 'six', 61, 0]
['Team B', 'one', 62, 0]
['Team B', 'two', 64, 0]
['Team B', 'one', 65, 0]
['Team B', 'one', 66, 0]
['Team B', 'dot', 66, 0]
['Team B', 'six', 72, 0]
['Team B', 'dot', 72, 0]
['Team B', 'dot', 72, 0]
['Team B', 'wicket', 74, 1]
['Team B', 'one', 75, 1]
['Team B', 'one', 76, 1]
['Team B', 'one', 77, 1]
['Team B', 'one', 78, 1]
['Team B', 'one', 79, 1]
['Team B', 'one', 80, 1]
['Team B', 'two', 82, 1]
['Team A', 'two', 2, 0]
['Team A', 'one', 3, 0]
['Team A', 'one', 4, 0]
['Team A', 'six', 10, 0]
['Team A', 'six', 16, 0]
['Team A', 'two', 18, 0]
['Team A', 'one', 19, 0]
['Team A', 'one', 20, 0]
['Team A', 'six', 26, 0]
['Team A', 'one', 27, 0]
['Team A', 'four', 31, 0]
['Team A', 'four', 35, 0]
['Team A', 'dot', 35, 0]
['Team A', 'wicket', 36, 1]
['Team A', 'one', 37, 1]
['Team A', 'one', 38, 1]
['Team A', 'dot', 38, 1]
['Team A', 'two', 40, 1]
['Team A', 'six', 46, 1]
['Team A', 'six', 52, 1]
['Team A', 'dot', 52, 1]
['Team A', 'dot', 52, 1]
['Team A', 'wicket', 53, 2]
['Team A', 'one', 54, 2]
['Team A', 'two', 56, 2]
['Team A', 'six', 62, 2]
['Team A', 'four', 66, 2]
['Team A', 'dot', 66, 2]
['Team A', 'one', 67, 2]
['Team A', 'one', 68, 2]
['Team A', 'dot', 68, 2]
['Team A', 'one', 69, 2]
['Team A', 'one', 70, 2]
['Team A', 'one', 71, 2]
['Team A', 'dot', 71, 2]
['Team A', 'dot', 71, 2]
['Team A', 'one', 72, 2]
['Team A', 'two', 74, 2]
['Team A', 'four', 78, 2]
['Team A', 'dot', 78, 2]
['Team A', 'dot', 78, 2]
['Team A', 'one', 79, 2]
['Team A', 'wicket', 80, 3]
['Team A', 'one', 81, 3]
['Team A', 'one', 82, 3]
['Team A', 'dot', 82, 3]
['Team A', 'four', 86, 3]
['Team A', 'dot', 86, 3]
['Team A', 'six', 92, 3]
['Team A', 'dot', 92, 3]
['Team A', 'six', 98, 3]
['Team A', 'one', 99, 3]
['Team A', 'two', 101, 3]
['Team A', 'one', 102, 3]
['Team A', 'dot', 102, 3]
['Team A', 'one', 103, 3]
['Team A', 'one', 104, 3]
['Team A', 'one', 105, 3]
['Team A', 'dot', 105, 3]
['Team A', 'dot', 105, 3]
['Team B', 'one', 1, 0]
['Team B', 'four', 5, 0]
['Team B', 'four', 9, 0]
['Team B', 'dot', 9, 0]
['Team B', 'one', 10, 0]
['Team B', 'dot', 10, 0]
['Team B', 'one', 11, 0]
['Team B', 'two', 13, 0]
['Team B', 'one', 14, 0]
['Team B', 'dot', 14, 0]
['Team B', 'two', 16, 0]
['Team B', 'one', 17, 0]
['Team B', 'one', 18, 0]
['Team B', 'extra run', 19, 0]
['Team B', 'wicket', 20, 1]
['Team B', 'dot', 20, 1]
['Team B', 'six', 26, 1]
['Team B', 'one', 27, 1]
['Team B', 'four', 31, 1]
['Team B', 'dot', 31, 1]
['Team B', 'extra run', 32, 1]
['Team B', 'dot', 32, 1]
['Team B', 'one', 33, 1]
['Team B', 'dot', 33, 1]
['Team B', 'dot', 33, 1]
['Team B', 'dot', 33, 1]
['Team B', 'dot', 33, 1]
['Team B', 'dot', 33, 1]
['Team B', 'dot', 33, 1]
['Team B', 'dot', 33, 1]
['Team B', 'one', 34, 1]
['Team B', 'dot', 34, 1]
['Team B', 'dot', 34, 1]
['Team B', 'dot', 34, 1]
['Team B', 'one', 35, 1]
['Team B', 'one', 36, 1]
['Team B', 'one', 37, 1]
['Team B', 'four', 41, 1]
['Team B', 'one', 42, 1]
['Team B', 'dot', 42, 1]
['Team B', 'one', 43, 1]
['Team B', 'six', 49, 1]
['Team B', 'one', 50, 1]
['Team B', 'six', 56, 1]
['Team B', 'dot', 56, 1]
['Team B', 'dot', 56, 1]
['Team B', 'dot', 56, 1]
['Team B', 'one', 57, 1]
['Team B', 'dot', 57, 1]
['Team B', 'four', 61, 1]
['Team B', 'two', 63, 1]
['Team B', 'six', 69, 1]
['Team B', 'one', 70, 1]
['Team B', 'one', 71, 1]
['Team B', 'one', 72, 1]
['Team B', 'extra run', 73, 1]
['Team B', 'dot', 73, 1]
['Team B', 'one', 74, 1]
['Team B', 'dot', 74, 1]
['Team B', 'one', 75, 1]
