['Team B', 'dot', 0, 0]
['Team B', 'two', 2, 0]
['Team B', 'dot', 2, 0]
['Team B', 'dot', 2, 0]
['Team B', 'dot', 2, 0]
['Team B', 'one', 3, 0]
['Team B', 'four', 7, 0]
['Team B', 'dot', 7, 0]
['Team B', 'dot', 7, 0]
['Team B', 'four', 11, 0]
['Team B', 'one', 12, 0]
['Team B', 'extra run', 13, 0]
['Team B', 'dot', 13, 0]
['Team B', 'one', 14, 0]
['Team B', 'dot', 14, 0]
['Team B', 'dot', 14, 0]
['Team B', 'six', 20, 0]
['Team B', 'one', 21, 0]
['Team B', 'dot', 21, 0]
['Team B', 'one', 22, 0]
['Team B', 'dot', 22, 0]
['Team B', 'wicket', 23, 1]
['Team B', 'four', 27, 1]
['Team B', 'one', 28, 1]
['Team B', 'four', 32, 1]
['Team B', 'one', 33, 1]
['Team B', 'wicket', 34, 2]
['Team B', 'dot', 34, 2]
['Team B', 'dot', 34, 2]
['Team B', 'dot', 34, 2]
['Team B', 'dot', 34, 2]
['Team B', 'dot', 34, 2]
['Team B', 'one', 35, 2]
['Team B', 'extra run', 36, 2]
['Team B', 'dot', 36, 2]
['Team B', 'dot', 36, 2]
['Team B', 'wicket', 37, 3]
['Team B', 'dot', 37, 3]
['Team B', 'one', 38, 3]
['Team B', 'one', 39, 3]
['Team B', 'dot', 39, 3]
['Team B', 'dot', 39, 3]
['Team B', 'extra run', 40, 3]
['Team B', 'one', 41, 3]
['Team B', 'extra run', 42, 3]
['Team B', 'one', 43, 3]
['Team B', 'dot', 43, 3]
['Team B', 'one', 44, 3]
['Team B', 'two', 46, 3]
['Team B', 'one', 47, 3]
['Team B', 'dot', 47, 3]
['Team B', 'one', 48, 3]
['Team B', 'dot', 48, 3]
['Team B', 'six', 54, 3]
['Team B', 'dot', 54, 3]
['Team B', 'one', 55, 3]
['Team B', 'two', 57, 3]
['Team B', 'two', 59, 3]
['Team B', 'one', 60, 3]
['Team B', 'four', 64, 3]
['Team A', 'one', 1, 0]
['Team A', 'four', 5, 0]
['Team A', 'wicket', 6, 1]
['Team A', 'dot', 6, 1]
['Team A', 'one', 7, 1]
['Team A', 'one', 8, 1]
['Team A', 'one', 9, 1]
['Team A', 'six', 15, 1]
['Team A', 'one', 16, 1]
['Team A', 'extra run', 17, 1]
['Team A', 'dot', 17, 1]
['Team A', 'wicket', 18, 2]
['Team A', 'dot', 18, 2]
['Team A', 'dot', 18, 2]
['Team A', 'dot', 18, 2]
['Team A', 'dot', 18, 2]
['Team A', 'six', 24, 2]
['Team A', 'one', 25, 2]
['Team A', 'six', 31, 2]
['Team A', 'four', 35, 2]
['Team A', 'four', 39, 2]
['Team A', 'two', 41, 2]
['Team A', 'one', 42, 2]
['Team A', 'one', 43, 2]
['Team A', 'dot', 43, 2]
['Team A', 'four', 47, 2]
['Team A', 'one', 48, 2]
['Team A', 'one', 49, 2]
['Team A', 'one', 50, 2]
['Team A', 'four', 54, 2]
['Team A', 'one', 55, 2]
['Team A', 'dot', 55, 2]
['Team A', 'one', 56, 2]
['Team A', 'dot', 56, 2]
['Team A', 'dot', 56, 2]
['Team A', 'four', 60, 2]
['Team A', 'dot', 60, 2]
['Team A', 'dot', 60, 2]
['Team A', 'dot', 60, 2]
['Team A', 'one', 61, 2]
['Team A', 'six', 67, 2]
['Team A', 'dot', 67, 2]
['Team A', 'one', 68, 2]
['Team A', 'two', 70, 2]
['Team A', 'dot', 70, 2]
['Team A', 'wicket', 71, 3]
['Team A', 'one', 72, 3]
['Team A', 'dot', 72, 3]
['Team A', 'wicket', 73, 4]
['Team A', 'one', 74, 4]
['Team A', 'one', 75, 4]
['Team A', 'six', 81, 4]
['Team A', 'dot', 81, 4]
['Team A', 'wicket', 82, 5]
['Team A', 'four', 86, 5]
['Team A', 'one', 87, 5]
['Team A', 'one', 88, 5]
['Team A', 'wicket', 88, 6]
['Team A', 'one', 89, 6]
['Team A', 'one', 90, 6]
['Team B', 'four', 4, 0]
['Team B', 'dot', 4, 0]
['Team B', 'one', 5, 0]
['Team B', 'dot', 5, 0]
['Team B', 'one', 6, 0]
['Team B', 'six', 12, 0]
['Team B', 'dot', 12, 0]
['Team B', 'dot', 12, 0]
['Team B', 'six', 18, 0]
['Team B', 'extra run', 19, 0]
['Team B', 'one', 20, 0]
['Team B', 'six', 26, 0]
['Team B', 'one', 27, 0]
['Team B', 'four', 31, 0]
['Team B', 'dot', 31, 0]
['Team B', 'dot', 31, 0]
['Team B', 'one', 32, 0]
['Team B', 'four', 36, 0]
['Team B', 'four', 40, 0]
['Team B', 'dot', 40, 0]
['Team B', 'dot', 40, 0]
['Team B', 'dot', 40, 0]
['Team B', 'dot', 40, 0]
['Team B', 'one', 41, 0]
['Team B', 'dot', 41, 0]
['Team B', 'one', 42, 0]
['Team B', 'one', 43, 0]
['Team B', 'six', 49, 0]
['Team B', 'one', 50, 0]
['Team B', 'dot', 50, 0]
['Team B', 'one', 51, 0]
['Team B', 'wicket', 52, 1]
['Team B', 'dot', 52, 1]
['Team B', 'one', 53, 1]
['Team B', 'four', 57, 1]
['Team B', 'one', 58, 1]
['Team B', 'wicket', 59, 2]
['Team B', 'dot', 59, 2]
['Team B', 'one', 60, 2]
['Team B', 'extra run', 61, 2]
['Team B', 'one', 62, 2]
['Team B', 'dot', 62, 2]
['Team B', 'dot', 62, 2]
['Team B', 'one', 63, 2]
['Team B', 'dot', 63, 2]
['Team B', 'four', 67, 2]
['Team B', 'one', 68, 2]
['Team B', 'dot', 68, 2]
['Team B', 'one', 69, 2]
['Team B', 'one', 70, 2]
['Team B', 'four', 74, 2]
['Team B', 'wicket', 75, 3]
['Team B', 'four', 79, 3]
['Team B', 'extra run', 80, 3]
['Team B', 'extra run', 81, 3]
['Team B', 'four', 85, 3]
['Team B', 'dot', 85, 3]
['Team B', 'one', 86, 3]
['Team B', 'dot', 86, 3]
['Team B', 'six', 92, 3]
['Team A', 'one', 1, 0]
['Team A', 'two', 3, 0]
['Team A', 'dot', 3, 0]
['Team A', 'one', 4, 0]
['Team A', 'four', 8, 0]
['Team A', 'dot', 8, 0]
['Team A', 'one', 9, 0]
['Team A', 'one', 10, 0]
['Team A', 'dot', 10, 0]
['Team A', 'four', 14, 0]
['Team A', 'extra run', 15, 0]
['Team A', 'dot', 15, 0]
['Team A', 'dot', 15, 0]
['Team A', 'six', 21, 0]
['Team A', 'one', 22, 0]
['Team A', 'one', 23, 0]
['Team A', 'one', 24, 0]
['Team A', 'one', 25, 0]
['Team A', 'one', 26, 0]
['Team A', 'wicket', 27, 1]
['Team A', 'two', 29, 1]
['Team A', 'one', 30, 1]
['Team A', 'one', 31, 1]
['Team A', 'dot', 31, 1]
['Team A', 'six', 37, 1]
['Team A', 'dot', 37, 1]
['Team A', 'one', 38, 1]
['Team A', 'one', 39, 1]
['Team A', 'four', 43, 1]
['Team A', 'one', 44, 1]
['Team A', 'dot', 44, 1]
['Team A', 'dot', 44, 1]
['Team A', 'dot', 44, 1]
['Team A', 'four', 48, 1]
['Team A', 'dot', 48, 1]
['Team A', 'one', 49, 1]
['Team A', 'two', 51, 1]
['Team A', 'one', 52, 1]
['Team A', 'extra run', 53, 1]
['Team A', 'dot', 53, 1]
['Team A', 'dot', 53, 1]
['Team A', 'one', 54, 1]
['Team A', 'one', 55, 1]
['Team A', 'dot', 55, 1]
['Team A', 'one', 56, 1]
['Team A', 'dot', 56, 1]
['Team A', 'extra run', 57, 1]
['Team A', 'dot', 57, 1]
['Team A', 'dot', 57, 1]
['Team A', 'dot', 57, 1]
['Team A', 'dot', 57, 1]
['Team A', 'one', 58, 1]
['Team A', 'one', 59, 1]
['Team A', 'dot', 59, 1]
['Team A', 'extra run', 60, 1]
['Team A', 'dot', 60, 1]
['Team A', 'dot', 60, 1]
['Team A', 'extra run', 61, 1]
['Team A', 'dot', 61, 1]
['Team A', 'one', 62, 1]
